List;Discription;Title screen;Hex file;Data file;Save file
0;0-0;0\0\0.png;;;
1;1-0;1\0\0.png;;;
1;1-1;1\1\1.png;1\1\1.hex;;
1;1-2;1\2\2.png;1\2\2.hex;;
1;1-3;1\3\3.png;1\3\3.hex;;
1;1-4;1\4\4.png;1\4\4.hex;;
1;1-5;1\5\5.png;1\5\5.hex;;
1;1-6;1\6\6.png;1\6\6.hex;;
1;1-7;1\7\7.png;1\7\7.hex;;
1;1-8;1\8\8.png;1\8\8.hex;;
1;1-9;1\9\9.png;1\9\9.hex;;
1;1-10;1\10\10.png;1\10\10.hex;;
1;1-11;1\11\11.png;1\11\11.hex;;
1;1-12;1\12\12.png;1\12\12.hex;;
1;1-13;1\13\13.png;1\13\13.hex;;
1;1-14;1\14\14.png;1\14\14.hex;;
1;1-15;1\15\15.png;1\15\15.hex;;
1;1-16;1\16\16.png;1\16\16.hex;;
1;1-17;1\17\17.png;1\17\17.hex;;
1;1-18;1\18\18.png;1\18\18.hex;;
1;1-19;1\19\19.png;1\19\19.hex;;
1;1-20;1\20\20.png;1\20\20.hex;;
1;1-21;1\21\21.png;1\21\21.hex;;
1;1-22;1\22\22.png;1\22\22.hex;;
1;1-23;1\23\23.png;1\23\23.hex;;
1;1-24;1\24\24.png;1\24\24.hex;;
1;1-25;1\25\25.png;1\25\25.hex;;
1;1-26;1\26\26.png;1\26\26.hex;;
1;1-27;1\27\27.png;1\27\27.hex;;
1;1-28;1\28\28.png;1\28\28.hex;;
1;1-29;1\29\29.png;1\29\29.hex;;
1;1-30;1\30\30.png;1\30\30.hex;;
1;1-31;1\31\31.png;1\31\31.hex;;
1;1-32;1\32\32.png;1\32\32.hex;;
1;1-33;1\33\33.png;1\33\33.hex;;
1;1-34;1\34\34.png;1\34\34.hex;;
1;1-35;1\35\35.png;1\35\35.hex;;
1;1-36;1\36\36.png;1\36\36.hex;;
1;1-37;1\37\37.png;1\37\37.hex;;
1;1-38;1\38\38.png;1\38\38.hex;;
1;1-39;1\39\39.png;1\39\39.hex;;
1;1-40;1\40\40.png;1\40\40.hex;;
1;1-41;1\41\41.png;1\41\41.hex;;
1;1-42;1\42\42.png;1\42\42.hex;;
1;1-43;1\43\43.png;1\43\43.hex;;
1;1-44;1\44\44.png;1\44\44.hex;;
1;1-45;1\45\45.png;1\45\45.hex;;
1;1-46;1\46\46.png;1\46\46.hex;;
1;1-47;1\47\47.png;1\47\47.hex;;
1;1-48;1\48\48.png;1\48\48.hex;;
1;1-49;1\49\49.png;1\49\49.hex;;
1;1-50;1\50\50.png;1\50\50.hex;;
1;1-51;1\51\51.png;1\51\51.hex;;
1;1-52;1\52\52.png;1\52\52.hex;;
1;1-53;1\53\53.png;1\53\53.hex;;
2;2-0;2\0\0.png;;;
2;2-1;2\1\1.png;2\1\1.hex;;
2;2-2;2\2\2.png;2\2\2.hex;;
2;2-3;2\3\3.png;2\3\3.hex;;
2;2-4;2\4\4.png;2\4\4.hex;;
2;2-5;2\5\5.png;2\5\5.hex;;
2;2-6;2\6\6.png;2\6\6.hex;;
2;2-7;2\7\7.png;2\7\7.hex;;
2;2-8;2\8\8.png;2\8\8.hex;;
2;2-9;2\9\9.png;2\9\9.hex;;
2;2-10;2\10\10.png;2\10\10.hex;;
2;2-11;2\11\11.png;2\11\11.hex;;
2;2-12;2\12\12.png;2\12\12.hex;;
2;2-13;2\13\13.png;2\13\13.hex;;
3;3-0;3\0\0.png;;;
3;3-1;3\1\1.png;3\1\1.hex;;
3;3-2;3\2\2.png;3\2\2.hex;;
3;3-3;3\3\3.png;3\3\3.hex;;
3;3-4;3\4\4.png;3\4\4.hex;;
3;3-5;3\5\5.png;3\5\5.hex;;
3;3-6;3\6\6.png;3\6\6.hex;;
3;3-7;3\7\7.png;3\7\7.hex;;
3;3-8;3\8\8.png;3\8\8.hex;;
3;3-9;3\9\9.png;3\9\9.hex;;
3;3-10;3\10\10.png;3\10\10.hex;;
3;3-11;3\11\11.png;3\11\11.hex;;
3;3-12;3\12\12.png;3\12\12.hex;;
3;3-13;3\13\13.png;3\13\13.hex;;
3;3-14;3\14\14.png;3\14\14.hex;;
3;3-15;3\15\15.png;3\15\15.hex;;
3;3-16;3\16\16.png;3\16\16.hex;;
3;3-17;3\17\17.png;3\17\17.hex;;
3;3-18;3\18\18.png;3\18\18.hex;;
3;3-19;3\19\19.png;3\19\19.hex;;
3;3-20;3\20\20.png;3\20\20.hex;;
3;3-21;3\21\21.png;3\21\21.hex;;
3;3-22;3\22\22.png;3\22\22.hex;;
3;3-23;3\23\23.png;3\23\23.hex;;
3;3-24;3\24\24.png;3\24\24.hex;;
3;3-25;3\25\25.png;3\25\25.hex;;
3;3-26;3\26\26.png;3\26\26.hex;;
3;3-27;3\27\27.png;3\27\27.hex;;
3;3-28;3\28\28.png;3\28\28.hex;;
3;3-29;3\29\29.png;3\29\29.hex;;
3;3-30;3\30\30.png;3\30\30.hex;;
3;3-31;3\31\31.png;3\31\31.hex;;
3;3-32;3\32\32.png;3\32\32.hex;;
3;3-33;3\33\33.png;3\33\33.hex;;
3;3-34;3\34\34.png;3\34\34.hex;;
4;4-0;4\0\0.png;;;
4;4-1;4\1\1.png;4\1\1.hex;;
4;4-2;4\2\2.png;4\2\2.hex;;
4;4-3;4\3\3.png;4\3\3.hex;;
4;4-4;4\4\4.png;4\4\4.hex;;
4;4-5;4\5\5.png;4\5\5.hex;;
4;4-6;4\6\6.png;4\6\6.hex;;
4;4-7;4\7\7.png;4\7\7.hex;;
4;4-8;4\8\8.png;4\8\8.hex;;
4;4-9;4\9\9.png;4\9\9.hex;;
4;4-10;4\10\10.png;4\10\10.hex;;
4;4-11;4\11\11.png;4\11\11.hex;;
4;4-12;4\12\12.png;4\12\12.hex;;
4;4-13;4\13\13.png;4\13\13.hex;;
4;4-14;4\14\14.png;4\14\14.hex;;
4;4-15;4\15\15.png;4\15\15.hex;;
5;5-0;5\0\0.png;;;
5;5-1;5\1\1.png;5\1\1.hex;;
5;5-2;5\2\2.png;5\2\2.hex;;
5;5-3;5\3\3.png;5\3\3.hex;;
5;5-4;5\4\4.png;5\4\4.hex;;
5;5-5;5\5\5.png;5\5\5.hex;;
5;5-6;5\6\6.png;5\6\6.hex;;
5;5-7;5\7\7.png;5\7\7.hex;;
5;5-8;5\8\8.png;5\8\8.hex;;
5;5-9;5\9\9.png;5\9\9.hex;;
5;5-10;5\10\10.png;5\10\10.hex;;
5;5-11;5\11\11.png;5\11\11.hex;;
5;5-12;5\12\12.png;5\12\12.hex;;
5;5-13;5\13\13.png;5\13\13.hex;;
5;5-14;5\14\14.png;5\14\14.hex;;
6;6-0;6\0\0.png;;;
6;6-1;6\1\1.png;6\1\1.hex;;
6;6-2;6\2\2.png;6\2\2.hex;;
6;6-3;6\3\3.png;6\3\3.hex;;
6;6-4;6\4\4.png;6\4\4.hex;;
6;6-5;6\5\5.png;6\5\5.hex;;
6;6-6;6\6\6.png;6\6\6.hex;;
6;6-7;6\7\7.png;6\7\7.hex;;
6;6-8;6\8\8.png;6\8\8.hex;;
6;6-9;6\9\9.png;6\9\9.hex;;
6;6-10;6\10\10.png;6\10\10.hex;;
6;6-11;6\11\11.png;6\11\11.hex;;
6;6-12;6\12\12.png;6\12\12.hex;;
6;6-13;6\13\13.png;6\13\13.hex;;
6;6-14;6\14\14.png;6\14\14.hex;;
6;6-15;6\15\15.png;6\15\15.hex;;
6;6-16;6\16\16.png;6\16\16.hex;;
6;6-17;6\17\17.png;6\17\17.hex;;
6;6-18;6\18\18.png;6\18\18.hex;;
6;6-19;6\19\19.png;6\19\19.hex;;
6;6-20;6\20\20.png;6\20\20.hex;;
6;6-21;6\21\21.png;6\21\21.hex;;
6;6-22;6\22\22.png;6\22\22.hex;;
7;7-0;7\0\0.png;;;
7;7-1;7\1\1.png;7\1\1.hex;;
7;7-2;7\2\2.png;7\2\2.hex;;
7;7-3;7\3\3.png;7\3\3.hex;;
7;7-4;7\4\4.png;7\4\4.hex;;
7;7-5;7\5\5.png;7\5\5.hex;;
7;7-6;7\6\6.png;7\6\6.hex;;
7;7-7;7\7\7.png;7\7\7.hex;;
7;7-8;7\8\8.png;7\8\8.hex;;
7;7-9;7\9\9.png;7\9\9.hex;;
7;7-10;7\10\10.png;7\10\10.hex;;
7;7-11;7\11\11.png;7\11\11.hex;;
8;8-0;8\0\0.png;;;
8;8-1;8\1\1.png;8\1\1.hex;;
8;8-2;8\2\2.png;8\2\2.hex;;
8;8-3;8\3\3.png;8\3\3.hex;;
8;8-4;8\4\4.png;8\4\4.hex;;
8;8-5;8\5\5.png;8\5\5.hex;;
8;8-6;8\6\6.png;8\6\6.hex;;
8;8-7;8\7\7.png;8\7\7.hex;;
8;8-8;8\8\8.png;8\8\8.hex;;
8;8-9;8\9\9.png;8\9\9.hex;;
8;8-10;8\10\10.png;8\10\10.hex;;
8;8-11;8\11\11.png;8\11\11.hex;;
8;8-12;8\12\12.png;8\12\12.hex;;
8;8-13;8\13\13.png;8\13\13.hex;;
8;8-14;8\14\14.png;8\14\14.hex;;
8;8-15;8\15\15.png;8\15\15.hex;;
8;8-16;8\16\16.png;8\16\16.hex;;
8;8-17;8\17\17.png;8\17\17.hex;;
8;8-18;8\18\18.png;8\18\18.hex;;
8;8-19;8\19\19.png;8\19\19.hex;;
8;8-20;8\20\20.png;8\20\20.hex;;
8;8-21;8\21\21.png;8\21\21.hex;;
8;8-22;8\22\22.png;8\22\22.hex;;
8;8-23;8\23\23.png;8\23\23.hex;;
8;8-24;8\24\24.png;8\24\24.hex;;
8;8-25;8\25\25.png;8\25\25.hex;;
8;8-26;8\26\26.png;8\26\26.hex;;
8;8-27;8\27\27.png;8\27\27.hex;;
8;8-28;8\28\28.png;8\28\28.hex;;
8;8-29;8\29\29.png;8\29\29.hex;;
8;8-30;8\30\30.png;8\30\30.hex;;
8;8-31;8\31\31.png;8\31\31.hex;;
8;8-32;8\32\32.png;8\32\32.hex;;
8;8-33;8\33\33.png;8\33\33.hex;;
8;8-34;8\34\34.png;8\34\34.hex;;
8;8-35;8\35\35.png;8\35\35.hex;;
8;8-36;8\36\36.png;8\36\36.hex;;
8;8-37;8\37\37.png;8\37\37.hex;;
8;8-38;8\38\38.png;8\38\38.hex;;
8;8-39;8\39\39.png;8\39\39.hex;;
8;8-40;8\40\40.png;8\40\40.hex;;
8;8-41;8\41\41.png;8\41\41.hex;;
8;8-42;8\42\42.png;8\42\42.hex;;
8;8-43;8\43\43.png;8\43\43.hex;;
8;8-44;8\44\44.png;8\44\44.hex;;
9;9-0;9\0\0.png;;;
9;9-1;9\1\1.png;9\1\1.hex;;
9;9-2;9\2\2.png;9\2\2.hex;;
9;9-3;9\3\3.png;9\3\3.hex;;
9;9-4;9\4\4.png;9\4\4.hex;;
9;9-5;9\5\5.png;9\5\5.hex;;
9;9-6;9\6\6.png;9\6\6.hex;;
9;9-7;9\7\7.png;9\7\7.hex;;
9;9-8;9\8\8.png;9\8\8.hex;;
9;9-9;9\9\9.png;9\9\9.hex;;
9;9-10;9\10\10.png;9\10\10.hex;;
9;9-11;9\11\11.png;9\11\11.hex;;
9;9-12;9\12\12.png;9\12\12.hex;;
9;9-13;9\13\13.png;9\13\13.hex;;
9;9-14;9\14\14.png;9\14\14.hex;;
9;9-15;9\15\15.png;9\15\15.hex;;
9;9-16;9\16\16.png;9\16\16.hex;;
9;9-17;9\17\17.png;9\17\17.hex;;
9;9-18;9\18\18.png;9\18\18.hex;;
9;9-19;9\19\19.png;9\19\19.hex;;
9;9-20;9\20\20.png;9\20\20.hex;;
9;9-21;9\21\21.png;9\21\21.hex;;
9;9-22;9\22\22.png;9\22\22.hex;;
9;9-23;9\23\23.png;9\23\23.hex;;
9;9-24;9\24\24.png;9\24\24.hex;;
9;9-25;9\25\25.png;9\25\25.hex;;
9;9-26;9\26\26.png;9\26\26.hex;;
9;9-27;9\27\27.png;9\27\27.hex;;
9;9-28;9\28\28.png;9\28\28.hex;;
9;9-29;9\29\29.png;9\29\29.hex;;
9;9-30;9\30\30.png;9\30\30.hex;;
9;9-31;9\31\31.png;9\31\31.hex;;
9;9-32;9\32\32.png;9\32\32.hex;;
9;9-33;9\33\33.png;9\33\33.hex;;
9;9-34;9\34\34.png;9\34\34.hex;;
9;9-35;9\35\35.png;9\35\35.hex;;
9;9-36;9\36\36.png;9\36\36.hex;;
10;10-0;10\0\0.png;;;
10;10-1;10\1\1.png;10\1\1.hex;;
10;10-2;10\2\2.png;10\2\2.hex;;
10;10-3;10\3\3.png;10\3\3.hex;;
10;10-4;10\4\4.png;10\4\4.hex;;
10;10-5;10\5\5.png;10\5\5.hex;;
10;10-6;10\6\6.png;10\6\6.hex;;
10;10-7;10\7\7.png;10\7\7.hex;;
10;10-8;10\8\8.png;10\8\8.hex;;
10;10-9;10\9\9.png;10\9\9.hex;;
10;10-10;10\10\10.png;10\10\10.hex;;
10;10-11;10\11\11.png;10\11\11.hex;;
10;10-12;10\12\12.png;10\12\12.hex;;
10;10-13;10\13\13.png;10\13\13.hex;;
10;10-14;10\14\14.png;10\14\14.hex;;
10;10-15;10\15\15.png;10\15\15.hex;;
10;10-16;10\16\16.png;10\16\16.hex;;
11;11-0;11\0\0.png;;;
11;11-1;11\1\1.png;11\1\1.hex;;
11;11-2;11\2\2.png;11\2\2.hex;;
11;11-3;11\3\3.png;11\3\3.hex;;
11;11-4;11\4\4.png;11\4\4.hex;;
11;11-5;11\5\5.png;11\5\5.hex;;
11;11-6;11\6\6.png;11\6\6.hex;;
11;11-7;11\7\7.png;11\7\7.hex;;
11;11-8;11\8\8.png;11\8\8.hex;;
11;11-9;11\9\9.png;11\9\9.hex;;
11;11-10;11\10\10.png;11\10\10.hex;;
11;11-11;11\11\11.png;11\11\11.hex;;
11;11-12;11\12\12.png;11\12\12.hex;;
11;11-13;11\13\13.png;11\13\13.hex;;
12;12-0;12\0\0.png;;;
12;12-1;12\1\1.png;12\1\1.hex;;
12;12-2;12\2\2.png;12\2\2.hex;;
12;12-3;12\3\3.png;12\3\3.hex;;
12;12-4;12\4\4.png;12\4\4.hex;;
12;12-5;12\5\5.png;12\5\5.hex;;
12;12-6;12\6\6.png;12\6\6.hex;;
12;12-7;12\7\7.png;12\7\7.hex;;
12;12-8;12\8\8.png;12\8\8.hex;;
12;12-9;12\9\9.png;12\9\9.hex;;
12;12-10;12\10\10.png;12\10\10.hex;;
12;12-11;12\11\11.png;12\11\11.hex;;
12;12-12;12\12\12.png;12\12\12.hex;;
12;12-13;12\13\13.png;12\13\13.hex;;
12;12-14;12\14\14.png;12\14\14.hex;;
12;12-15;12\15\15.png;12\15\15.hex;;
12;12-16;12\16\16.png;12\16\16.hex;;
12;12-17;12\17\17.png;12\17\17.hex;;
12;12-18;12\18\18.png;12\18\18.hex;;
12;12-19;12\19\19.png;12\19\19.hex;;
12;12-20;12\20\20.png;12\20\20.hex;;
12;12-21;12\21\21.png;12\21\21.hex;;
12;12-22;12\22\22.png;12\22\22.hex;;
12;12-23;12\23\23.png;12\23\23.hex;;
13;13-0;13\0\0.png;;;
13;13-1;13\1\1.png;13\1\1.hex;;
13;13-2;13\2\2.png;13\2\2.hex;;
13;13-3;13\3\3.png;13\3\3.hex;;
13;13-4;13\4\4.png;13\4\4.hex;;
13;13-5;13\5\5.png;13\5\5.hex;;
13;13-6;13\6\6.png;13\6\6.hex;;
13;13-7;13\7\7.png;13\7\7.hex;;
13;13-8;13\8\8.png;13\8\8.hex;;
13;13-9;13\9\9.png;13\9\9.hex;;
13;13-10;13\10\10.png;13\10\10.hex;;
13;13-11;13\11\11.png;13\11\11.hex;;
13;13-12;13\12\12.png;13\12\12.hex;;
13;13-13;13\13\13.png;13\13\13.hex;;
13;13-14;13\14\14.png;13\14\14.hex;;
13;13-15;13\15\15.png;13\15\15.hex;;
13;13-16;13\16\16.png;13\16\16.hex;;
13;13-17;13\17\17.png;13\17\17.hex;;
13;13-18;13\18\18.png;13\18\18.hex;;
13;13-19;13\19\19.png;13\19\19.hex;;
13;13-20;13\20\20.png;13\20\20.hex;;
13;13-21;13\21\21.png;13\21\21.hex;;
13;13-22;13\22\22.png;13\22\22.hex;;
13;13-23;13\23\23.png;13\23\23.hex;;
13;13-24;13\24\24.png;13\24\24.hex;;
13;13-25;13\25\25.png;13\25\25.hex;;
13;13-26;13\26\26.png;13\26\26.hex;;
13;13-27;13\27\27.png;13\27\27.hex;;
13;13-28;13\28\28.png;13\28\28.hex;;
13;13-29;13\29\29.png;13\29\29.hex;;
13;13-30;13\30\30.png;13\30\30.hex;;
13;13-31;13\31\31.png;13\31\31.hex;;
13;13-32;13\32\32.png;13\32\32.hex;;
13;13-33;13\33\33.png;13\33\33.hex;;
13;13-34;13\34\34.png;13\34\34.hex;;
13;13-35;13\35\35.png;13\35\35.hex;;
13;13-36;13\36\36.png;13\36\36.hex;;
13;13-37;13\37\37.png;13\37\37.hex;;
13;13-38;13\38\38.png;13\38\38.hex;;
13;13-39;13\39\39.png;13\39\39.hex;;
13;13-40;13\40\40.png;13\40\40.hex;;
13;13-41;13\41\41.png;13\41\41.hex;;
13;13-42;13\42\42.png;13\42\42.hex;;
13;13-43;13\43\43.png;13\43\43.hex;;
13;13-44;13\44\44.png;13\44\44.hex;;
13;13-45;13\45\45.png;13\45\45.hex;;
13;13-46;13\46\46.png;13\46\46.hex;;
13;13-47;13\47\47.png;13\47\47.hex;;
13;13-48;13\48\48.png;13\48\48.hex;;
13;13-49;13\49\49.png;13\49\49.hex;;
14;14-0;14\0\0.png;;;
14;14-1;14\1\1.png;14\1\1.hex;;
14;14-2;14\2\2.png;14\2\2.hex;;
14;14-3;14\3\3.png;14\3\3.hex;;
14;14-4;14\4\4.png;14\4\4.hex;;
14;14-5;14\5\5.png;14\5\5.hex;;
14;14-6;14\6\6.png;14\6\6.hex;;
14;14-7;14\7\7.png;14\7\7.hex;;
14;14-8;14\8\8.png;14\8\8.hex;;
15;15-0;15\0\0.png;;;
15;15-1;15\1\1.png;15\1\1.hex;;
15;15-2;15\2\2.png;15\2\2.hex;;
15;15-3;15\3\3.png;15\3\3.hex;;
15;15-4;15\4\4.png;15\4\4.hex;;
15;15-5;15\5\5.png;15\5\5.hex;;
15;15-6;15\6\6.png;15\6\6.hex;;
15;15-7;15\7\7.png;15\7\7.hex;;
16;16-0;16\0\0.png;;;
16;16-1;16\1\1.png;16\1\1.hex;;
16;16-2;16\2\2.png;16\2\2.hex;;
16;16-3;16\3\3.png;16\3\3.hex;;
16;16-4;16\4\4.png;16\4\4.hex;;
16;16-5;16\5\5.png;16\5\5.hex;;
16;16-6;16\6\6.png;16\6\6.hex;;
16;16-7;16\7\7.png;16\7\7.hex;;
17;17-0;17\0\0.png;;;
17;17-1;17\1\1.png;17\1\1.hex;;
17;17-2;17\2\2.png;17\2\2.hex;;
17;17-3;17\3\3.png;17\3\3.hex;;
17;17-4;17\4\4.png;17\4\4.hex;;
17;17-5;17\5\5.png;17\5\5.hex;;
17;17-6;17\6\6.png;17\6\6.hex;;
17;17-7;17\7\7.png;17\7\7.hex;;
17;17-8;17\8\8.png;17\8\8.hex;;
17;17-9;17\9\9.png;17\9\9.hex;;
17;17-10;17\10\10.png;17\10\10.hex;;
17;17-11;17\11\11.png;17\11\11.hex;;
17;17-12;17\12\12.png;17\12\12.hex;;
17;17-13;17\13\13.png;17\13\13.hex;;
17;17-14;17\14\14.png;17\14\14.hex;;
17;17-15;17\15\15.png;17\15\15.hex;;
17;17-16;17\16\16.png;17\16\16.hex;;
17;17-17;17\17\17.png;17\17\17.hex;;
17;17-18;17\18\18.png;17\18\18.hex;;
17;17-19;17\19\19.png;17\19\19.hex;;
17;17-20;17\20\20.png;17\20\20.hex;;
17;17-21;17\21\21.png;17\21\21.hex;;
17;17-22;17\22\22.png;17\22\22.hex;;
17;17-23;17\23\23.png;17\23\23.hex;;
17;17-24;17\24\24.png;17\24\24.hex;;
17;17-25;17\25\25.png;17\25\25.hex;;
17;17-26;17\26\26.png;17\26\26.hex;;
17;17-27;17\27\27.png;17\27\27.hex;;
17;17-28;17\28\28.png;17\28\28.hex;;
17;17-29;17\29\29.png;17\29\29.hex;;
17;17-30;17\30\30.png;17\30\30.hex;;
17;17-31;17\31\31.png;17\31\31.hex;;
17;17-32;17\32\32.png;17\32\32.hex;;
17;17-33;17\33\33.png;17\33\33.hex;;
17;17-34;17\34\34.png;17\34\34.hex;;
17;17-35;17\35\35.png;17\35\35.hex;;
17;17-36;17\36\36.png;17\36\36.hex;;
17;17-37;17\37\37.png;17\37\37.hex;;
17;17-38;17\38\38.png;17\38\38.hex;;
17;17-39;17\39\39.png;17\39\39.hex;;
17;17-40;17\40\40.png;17\40\40.hex;;
18;18-0;18\0\0.png;;;
18;18-1;18\1\1.png;18\1\1.hex;;
18;18-2;18\2\2.png;18\2\2.hex;;
18;18-3;18\3\3.png;18\3\3.hex;;
18;18-4;18\4\4.png;18\4\4.hex;;
18;18-5;18\5\5.png;18\5\5.hex;;
18;18-6;18\6\6.png;18\6\6.hex;;
18;18-7;18\7\7.png;;;
18;18-8;18\8\8.png;18\8\8.hex;;
18;18-9;18\9\9.png;18\9\9.hex;;
18;18-10;18\10\10.png;18\10\10.hex;;
18;18-11;18\11\11.png;18\11\11.hex;;
18;18-12;18\12\12.png;18\12\12.hex;;
18;18-13;18\13\13.png;18\13\13.hex;;
18;18-14;18\14\14.png;18\14\14.hex;;
18;18-15;18\15\15.png;18\15\15.hex;;
18;18-16;18\16\16.png;18\16\16.hex;;